order,id,date,time,title,url,visitCount,typedCount,transition
0,2217,6/7/2025,15:33:30,Export Chrome History - Chrome Web Store,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en,1,0,link
1,2216,6/7/2025,15:33:28,Chrome History Export - Google Search,https://www.google.com/search?q=Chrome+History+Export&sourceid=chrome&ie=UTF-8,1,0,link
2,2215,6/7/2025,15:21:54,Северный канал,https://web.telegram.org/a/#-1001898076707,1,0,link
3,269,6/7/2025,15:21:54,Telegram,https://web.telegram.org/a/#-1001809448528,3,0,link
4,269,6/7/2025,15:21:50,Telegram,https://web.telegram.org/a/#-1001809448528,3,0,link
5,2213,6/7/2025,15:21:18,"​У Теткино ВСУ взяли в ""огневой котел"" солдат РФ – Z-канал в отчаянии: ""Перерезана вся логистика"" - | Диалог.UA",https://www.dialog.ua/war/314941_1749216231,2,0,link
6,2214,6/7/2025,15:21:10,"​У Теткино ВСУ взяли в ""огневой котел"" солдат РФ – Z-канал в отчаянии: ""Перерезана вся логистика"" - | Диалог.UA",https://www.dialog.ua/war/314941_1749216231#google_vignette,1,0,link
7,69,6/7/2025,15:20:45,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
8,2213,6/7/2025,15:20:16,"​У Теткино ВСУ взяли в ""огневой котел"" солдат РФ – Z-канал в отчаянии: ""Перерезана вся логистика"" - | Диалог.UA",https://www.dialog.ua/war/314941_1749216231,2,0,link
9,2212,6/7/2025,15:20:10,ситуация в теткино - Google Search,https://www.google.com/search?q=%D1%81%D0%B8%D1%82%D1%83%D0%B0%D1%86%D0%BC%D1%8F+%D0%B2+%D1%82%D0%B5%D1%82%D0%BA%D0%B8%D0%BD%D0%BE&oq=%D1%81%D0%B8%D1%82%D1%83%D0%B0%D1%86%D0%BC%D1%8F+%D0%B2+%D1%82%D0%B5%D1%82%D0%BA%D0%B8%D0%BD%D0%BE&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTILCAEQABgNGBMYgAQyCwgCEAAYDRgTGIAEMgsIAxAAGA0YExiABDILCAQQABgNGBMYgAQyCggFEAAYgAQYogQyBwgGEAAY7wUyBwgHEAAY7wUyCggIEAAYgAQYogQyBwgJEAAY7wXSAQg1NzM4ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,1,0,generated
10,2166,6/7/2025,15:04:34,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/introduction-into-kafka-streams,3,0,link
11,69,6/7/2025,14:56:15,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
12,496,6/7/2025,14:56:13,3 notifications,https://web.telegram.org/a/#1225887248,4,0,link
13,496,6/7/2025,14:55:53,3 notifications,https://web.telegram.org/a/#1225887248,4,0,link
14,2165,6/6/2025,18:21:42,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-throughput,3,0,link
15,2166,6/6/2025,18:21:35,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/introduction-into-kafka-streams,3,0,link
16,2165,6/6/2025,18:21:27,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-throughput,3,0,link
